class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support
LEAST BIASED,0.6884067061597683,0.008993991066678413,0.6528,0.012336035739968405,0.6700589713853007,0.008136770917446677,250
LEFT,0.7419932915613481,0.025353852142401954,0.49405940594059405,0.008669257779910037,0.5930639604865034,0.0128331012427386,101
LEFT-CENTER,0.5962312410985943,0.008477604322072218,0.757051282051282,0.013497104014832258,0.6670316172675843,0.008567111169889277,312
RIGHT,0.7829183681553242,0.009695325970741617,0.8885,0.006258327785172869,0.8323415570269912,0.006513702704804357,200
RIGHT-CENTER,0.9064771774966222,0.009609448558975813,0.6495614035087719,0.0043615303772445565,0.7567751670297509,0.0035516405077025462,228
