feature_set,model,features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
everything,extra_trees_entropy1,2663,0.7104491292392301,0.003962596942477955,0.7038542546392261,0.003787841720708856,0.7099368624483315,0.003756165991585094
everything_no_outlet,extra_trees,1252,0.7098075160403299,0.005971218139285892,0.7042646748101883,0.004849235140417276,0.7098123514766109,0.005525436946380965
everything,extra_trees,2663,0.7098075160403299,0.0053634239553905705,0.7038624131949724,0.004470605348466764,0.7094592429746579,0.005092241847924232
everything_no_outlet,extra_trees_entropy2,1252,0.707974335472044,0.005284522568432465,0.7014761351646082,0.005401550738899215,0.7080849792691968,0.005201455198439335
everything,extra_trees_log2,2663,0.7069660861594866,0.006108233577102161,0.698900813512609,0.005618917680395795,0.7058930674306472,0.005837340245684729
everything,extra_trees_entropy2,2663,0.7065994500458295,0.0032908016628810715,0.6991628847027306,0.0032198826606163974,0.7064251521344863,0.00326680947481016
everything,extra_trees_leaf2,2663,0.7055912007332722,0.005341449050168084,0.6981407336619215,0.0045816318365033745,0.7056929722867041,0.005088813023635202
bias_metadata_color,extra_trees,769,0.684967919340055,0.00531385262718086,0.6816044646717008,0.006108345254944931,0.6865169944353451,0.005402565998973669
bias_metadata_color,extra_trees_entropy2,769,0.6781851512373969,0.00535166290632266,0.6754417490409731,0.005680698051652831,0.6798807852567295,0.005123904324084394
