feature_set,model,features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
raw14_meta_color,xgb_tuned_d2_300,53,0.8984,0.0028,0.5762,0.0072
raw14_meta_color,xgb,53,0.8967704728950405,0.0036564861555126,0.5743375272717259,0.0092298980291403
raw14_meta,xgb,41,0.8965397923875432,0.0050815203626091,0.5641396878722984,0.0098136128210721
raw14,xgb,14,0.8892733564013842,0.0054099374392426,0.5288854937956307,0.0142055043070567
easy6_meta_color,xgb,45,0.8810841983852364,0.0032806142222209,0.5382562480595422,0.0075756897963281
easy6_meta,xgb,33,0.8805074971164937,0.0039687775165133,0.535975655142332,0.0074980169097375
easy6,xgb,6,0.86239907727797,0.0025296092502262,0.464958840015684,0.0082480961117594
