model,experiment,components,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,left_f1,left-center_f1,center_f1,right-center_f1,right_f1,mae,mse
majority,Majority class,predicts the majority svm_train class,555,39.81981981981982,20.0,7.963963963963963,20.0,11.391752577319588,0.0,0.0,0.0,56.95876288659794,0.0,0.8774774774774775,1.5657657657657658
nela,Articles: NELA,"SVM(rbf) on nela [87d], cv_f1=0.527, gamma=1, C=10",555,68.10810810810811,56.22975649771848,59.4407547911213,56.22975649771848,57.458843150863736,32.83582089552239,44.13793103448276,57.14285714285714,81.0126582278481,72.16494845360825,0.6216216216216216,1.5441441441441441
bert_repr,Articles: BERT representations,"SVM(rbf) on bert_repr [768d], cv_f1=0.625, gamma=0.1, C=1e+02",555,75.13513513513513,66.11068840790202,68.82747791093907,66.11068840790203,67.22178493297305,48.57142857142857,48.57142857142857,73.46938775510205,83.2271762208068,82.26950354609929,0.42342342342342343,0.9351351351351351
bert_prob,Articles: BERT probabilities,"SVM(rbf) on bert_prob [5d], cv_f1=0.620, gamma=1, C=1",555,72.25225225225225,59.35283993573734,66.67848529373795,59.352839935737336,61.29925594131629,35.08771929824561,42.58064516129032,66.11570247933885,84.0958605664488,78.61635220125787,0.5369369369369369,1.3225225225225226
all_concat,Articles: ALL (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob [860d], cv_f1=0.630",555,74.95495495495496,62.730589755677826,67.42331307999396,62.73058975567783,64.33426441101895,32.78688524590164,50.34013605442177,72.72727272727273,85.16129032258064,80.65573770491802,0.47927927927927927,1.1963963963963964
all_ensemble,Articles: ALL (en),"posterior ensemble of nela+bert_repr+bert_prob, weights=CV macro-F1",555,75.49549549549549,63.32263625335046,71.09636873238914,63.322636253350474,65.44283413848632,42.857142857142854,45.925925925925924,72.5925925925926,85.71428571428571,80.12422360248446,0.4702702702702703,1.1585585585585585
wiki,Wikipedia: BERT,"SVM(rbf) on wiki [768d], cv_f1=0.375, gamma=0.1, C=10",555,50.27027027027027,36.28548327363316,50.0242026035516,36.285483273633155,36.043127178533894,25.925925925925924,38.46153846153847,17.77777777777778,65.58966074313409,32.460732984293195,0.7009009009009008,1.2702702702702702
articles_wiki_concat,Articles+Wikipedia (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob+wiki [1628d], cv_f1=0.647",555,75.13513513513513,64.68085567135422,64.9805932629462,64.68085567135424,64.79338761702462,38.88888888888889,44.73684210526316,68.42105263157895,87.89237668161435,84.02777777777779,0.42882882882882883,0.9765765765765766
articles_wiki_ensemble,Articles+Wikipedia (en),"posterior ensemble of nela+bert_repr+bert_prob+wiki, weights=CV macro-F1",555,75.49549549549549,63.62421801132167,71.85325431090813,63.62421801132167,65.96686240030913,42.10526315789473,49.23076923076923,74.6268656716418,84.36830835117773,79.5031055900621,0.45585585585585586,1.1045045045045045
