model,experiment,components,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mae,mse,left_f1,left-center_f1,center_f1,right-center_f1,right_f1
majority,Majority class,predicts the majority train class for every row,555,39.81981981981982,20.0,7.963963963963963,20.0,11.391752577319588,0.8774774774774775,1.5657657657657658,0.0,0.0,0.0,56.95876288659794,0.0
full,Full,51 features + OCR expert + DINO knn15,555,78.01801801801803,74.2382253860849,70.66068321243955,74.2382253860849,71.10521016839216,0.43423423423423424,1.1441441441441442,47.78761061946903,59.756097560975604,71.72413793103448,90.95354523227384,85.30465949820788
no_ocr,Removed OCR,51 features + DINO knn15,555,69.90990990990991,62.50419748957168,63.719217160612,62.50419748957168,61.63335638811276,0.745945945945946,2.263063063063063,25.0,55.294117647058826,66.66666666666666,91.13300492610837,70.07299270072993
no_features,Removed 51 features,OCR expert + DINO knn15,555,78.55855855855856,74.19324335839762,70.8710173498906,74.19324335839764,71.4137074570134,0.42342342342342343,1.1261261261261262,45.87155963302752,63.030303030303024,71.23287671232876,91.21951219512195,85.71428571428571
ocr_only,Only OCR,OCR expert only,555,78.91891891891892,74.66187438430418,71.06312494852153,74.66187438430418,71.74885946924874,0.4144144144144144,1.1063063063063063,47.706422018348626,60.86956521739131,72.48322147651007,91.97080291970804,85.71428571428571
dino_only,Only DINOv2,DINO knn15 only,555,62.16216216216216,51.1143335441403,52.24805267344722,51.11433354414031,51.23996051690061,0.8738738738738738,2.5207207207207207,14.15929203539823,47.74193548387097,46.57534246575342,87.86407766990291,59.859154929577464
features_only,Only 51 features,51 compact features only,555,70.45045045045045,64.73620808455867,65.05651432233398,64.73620808455868,62.93803538778272,0.69009009009009,2.045045045045045,29.1970802919708,55.62130177514793,67.64705882352942,90.68627450980392,71.53846153846153
