model,experiment,components,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,LOW_f1,MIXED_f1,HIGH_f1,mae,mse
majority,Majority class,predicts the majority svm_train class,559,52.41502683363149,33.33333333333333,17.471675611210493,33.33333333333333,22.926447574334897,0.0,68.7793427230047,0.0,0.47584973166368516,0.47584973166368516
nela,Articles: NELA,"SVM(rbf) on nela [87d], cv_f1=0.672, gamma=1, C=10",559,70.6618962432916,65.29037038074121,68.75106043639079,65.29037038074121,66.66346265608325,57.98816568047337,77.17041800643086,64.83180428134557,0.33273703041144903,0.41144901610017887
bert_repr,Articles: BERT representations,"SVM(rbf) on bert_repr [768d], cv_f1=0.706, gamma=0.001, C=1e+02",559,76.74418604651163,73.27005901685526,75.06450270495215,73.27005901685526,74.0453090982616,65.93406593406593,80.5921052631579,75.60975609756098,0.25402504472271914,0.29695885509839
bert_prob,Articles: BERT probabilities,"SVM(rbf) on bert_prob [2d], cv_f1=0.467, gamma=10, C=1e+02",559,57.42397137745975,49.485608034545606,40.73329853862213,49.485608034545606,43.56724270468318,61.27167630057804,69.43005181347151,0.0,0.4293381037567084,0.4364937388193202
all_concat,Articles: ALL (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob [857d], cv_f1=0.727",559,77.6386404293381,74.07562498448796,75.74039603382364,74.07562498448796,74.8073049063148,65.93406593406593,81.51815181518151,76.96969696969697,0.24686940966010734,0.29338103756708406
all_ensemble,Articles: ALL (en),"posterior ensemble of nela+bert_repr+bert_prob, weights=CV macro-F1",559,76.38640429338103,73.53976186642687,75.16981512596875,73.53976186642687,74.20080726594136,68.10810810810811,79.80295566502463,74.69135802469135,0.2522361359570662,0.2844364937388193
wiki,Wikipedia: BERT,"SVM(rbf) on wiki [768d], cv_f1=0.536, gamma=0.01, C=10",559,67.79964221824687,53.628674287670734,68.42282593275642,53.62867428767074,54.51477794735163,21.052631578947366,75.59274755927476,66.89895470383276,0.33094812164579607,0.3488372093023256
articles_wiki_concat,Articles+Wikipedia (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob+wiki [1625d], cv_f1=0.749",559,80.50089445438283,78.46859523083735,78.08649564243369,78.46859523083735,78.24323594297286,68.75,82.793867120954,83.1858407079646,0.20930232558139536,0.23792486583184258
articles_wiki_ensemble,Articles+Wikipedia (en),"posterior ensemble of nela+bert_repr+bert_prob+wiki, weights=CV macro-F1",559,77.28085867620752,72.08033866792304,77.98038723660339,72.08033866792304,74.27340769038598,66.27218934911244,81.06416275430361,75.48387096774194,0.23792486583184258,0.259391771019678
